customer_customerNumber,customer_customerName,customer_contactFirstName,customer_contactLastName,customer_phone,customer_addressLine1,customer_addressLine2,customer_postalCode,customer_county,customer_subCounty,customer_status,customerorder_orderNumber,customerorder_orderDate,customerorder_requiredDate,customerorder_dispatchDate,customerorder_orderStatusID,customerorder_customerNumber,customerfeedback_customerfeedbackID,customerfeedback_foodquality,customerfeedback_servicequality,customerfeedback_pricetovalue,customerfeedback_ambiance,customerfeedback_comment,orderdetail_productCode,orderdetail_quantityOrdered,orderdetail_priceEach,product_productName,product_productDescription,product_quantityInStock,product_costOfProduction,product_sellingPrice,productcategory_productCategoryID,productcategory_categoryName,productcategory_categoryDescription,orderstatus_orderStatusID,orderstatus_status,branch_branchCode,branch_phone,branch_addressLine1,branch_addressLine2,branch_postalCode,branch_county,branch_subCounty
700,Pierrette Omondi,Pierrette,Omondi,0759207880,819 Ngong Rd,Apt 4,80163,Baringo,Turbo,0,5062,2023-04-11 15:01:40,2023-04-14 12:11:22,2023-04-11 21:42:13,3,700,4994,2,2,2,1,Noisy kitchen staff.,P017,3,50.00,Bhajia,"Potato fritters, deep-fried in a spiced gram flour batter.",100,20.00,50.00,9,Fried Dishes,"Dishes that are deep-fried, often using batter or dough, and served as snacks or accompaniments.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
745,[Business] Voyager Retreat,Claudine,Mutua,0755507067,473 Koinange St,Apt 31,77560,Nyeri,Eldoret West,0,5067,2022-02-03 01:44:06,2022-02-05 02:13:19,2022-02-04 20:11:32,3,745,5310,4,4,4,3,Very comfortable seating.,P002,7,20.00,Sukuma Wiki,Collard greens saut̩ed with onions and tomatoes.,100,10.00,20.00,2,Vegetable-Based Dishes,"Dishes that primarily consist of vegetables, often saut̩ed or cooked with spices.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
745,[Business] Voyager Retreat,Claudine,Mutua,0755507067,473 Koinange St,Apt 31,77560,Nyeri,Eldoret West,0,5067,2022-02-03 01:44:06,2022-02-05 02:13:19,2022-02-04 20:11:32,3,745,5310,4,4,4,3,Very comfortable seating.,P008,5,30.00,Kachumbari,Fresh tomato and onion salad with cilantro and lime.,100,10.00,30.00,2,Vegetable-Based Dishes,"Dishes that primarily consist of vegetables, often saut̩ed or cooked with spices.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
125,Pierre Odhiambo,Pierre,Odhiambo,0769533063,472 Riverside Dr,Apt 84,57012,Machakos,Westlands,1,5069,2024-10-05 17:51:53,2024-10-09 02:46:28,2024-10-06 02:50:01,5,125,911,5,5,5,5,Very accommodating to dietary needs.,P019,8,30.00,Viazi Karai,Potato slices coated in a spiced batter and deep-fried.,100,10.00,30.00,9,Fried Dishes,"Dishes that are deep-fried, often using batter or dough, and served as snacks or accompaniments.",5,Cancelled,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
125,Pierre Odhiambo,Pierre,Odhiambo,0769533063,472 Riverside Dr,Apt 84,57012,Machakos,Westlands,1,5069,2024-10-05 17:51:53,2024-10-09 02:46:28,2024-10-06 02:50:01,5,125,911,5,5,5,5,Very accommodating to dietary needs.,P061,5,70.00,Wali wa Nazi na Samaki,Coconut rice served with fish.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",5,Cancelled,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
110,[Business] Nyali Residences,Michelle,Malema,0708970952,618 Ngong Rd,Apt 4,69175,Eldoret,Jomvu,1,5082,2021-01-21 18:56:04,2021-01-25 09:31:14,2021-01-26 19:10:47,4,110,806,2,3,2,3,The cutlery was dirty.,P095,6,50.00,Chakalaka,"A spicy vegetable relish made with tomatoes, onions, peppers, and beans.",100,20.00,50.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",4,Delivered,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
420,[Business] Hilton Palace,Jacqueline,Mbeki,0758076428,395 Haile Selassie Ave,Apt 98,45600,Mombasa,Nyando,0,5199,2021-07-12 00:36:03,2021-07-13 09:03:38,2021-07-15 05:34:12,3,420,3062,2,2,3,2,Average experience.,P018,2,200.00,Mishkaki,"Skewered and grilled meat, typically beef or chicken.",70,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
420,[Business] Hilton Palace,Jacqueline,Mbeki,0758076428,395 Haile Selassie Ave,Apt 98,45600,Mombasa,Nyando,0,5199,2021-07-12 00:36:03,2021-07-13 09:03:38,2021-07-15 05:34:12,3,420,3062,2,2,3,2,Average experience.,P078,5,30.00,Atayef,"Sweet stuffed pancakes, typically filled with nuts or cream.",100,10.00,30.00,8,Sweet Snacks/Desserts,"Sweet dishes or snacks, often fried or baked, served as a dessert or treat.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
420,[Business] Hilton Palace,Jacqueline,Mbeki,0758076428,395 Haile Selassie Ave,Apt 98,45600,Mombasa,Nyando,0,5199,2021-07-12 00:36:03,2021-07-13 09:03:38,2021-07-15 05:34:12,3,420,3062,2,2,3,2,Average experience.,P015,5,60.00,Maharagwe,Stewed beans cooked with coconut milk and spices.,90,30.00,60.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
446,[Business] Villa Rosa Inn,Claudine,Mugisha,0735916633,993 Ngong Rd,Apt 32,34675,Kiambu,Kisumu West,0,5234,2023-06-21 03:25:33,2023-06-23 14:04:04,2023-06-23 18:18:42,1,446,3250,4,3,4,3,Too noisy.,P082,8,80.00,Egusi Soup,"A Nigerian soup made with melon seeds, leafy vegetables, and meat or fish.",70,40.00,80.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",1,Pending,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
446,[Business] Villa Rosa Inn,Claudine,Mugisha,0735916633,993 Ngong Rd,Apt 32,34675,Kiambu,Kisumu West,0,5234,2023-06-21 03:25:33,2023-06-23 14:04:04,2023-06-23 18:18:42,1,446,3250,4,3,4,3,Too noisy.,P016,1,300.00,Kuku Choma,"Grilled chicken, marinated with spices.",50,150.00,300.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
276,[Business] Safari Manor,Pauline,Kiplagat,0714129366,935 Nakuru Blvd,Apt 85,27835,Wajir,Eldoret East,1,5259,2021-03-08 13:11:00,2021-03-09 21:25:58,2021-03-12 20:52:48,1,276,1996,5,5,5,5,Loved the eco-friendly packaging.,P070,6,200.00,Nyama na Sukuma,Beef served with collard greens.,60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
276,[Business] Safari Manor,Pauline,Kiplagat,0714129366,935 Nakuru Blvd,Apt 85,27835,Wajir,Eldoret East,1,5259,2021-03-08 13:11:00,2021-03-09 21:25:58,2021-03-12 20:52:48,1,276,1996,5,5,5,5,Loved the eco-friendly packaging.,P086,7,70.00,Banku,"A fermented corn and cassava dough, cooked into a smooth, starchy side dish.",80,30.00,70.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",1,Pending,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
276,[Business] Safari Manor,Pauline,Kiplagat,0714129366,935 Nakuru Blvd,Apt 85,27835,Wajir,Eldoret East,1,5259,2021-03-08 13:11:00,2021-03-09 21:25:58,2021-03-12 20:52:48,1,276,1996,5,5,5,5,Loved the eco-friendly packaging.,P005,6,70.00,Githeri,A traditional Kikuyu dish of boiled maize and beans.,80,30.00,70.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",1,Pending,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
305,Jacqueline Munyui,Jacqueline,Munyui,0748440537,224 Tom Mboya St,Apt 33,14572,Tharaka-Nithi,Kisauni,0,5275,2021-03-15 07:24:36,2021-03-16 20:39:30,2021-03-18 23:16:53,5,305,2204,1,1,1,1,Reservation was lost.,P048,2,60.00,Maharagwe na Chapati,Beans served with chapati.,90,30.00,60.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",5,Cancelled,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
561,[Business] Neptune Suites,Mwangi,Munzala,0794408268,332 Mama Ngina St,Apt 67,83082,Mandera,Dagoretti,1,5297,2024-10-05 07:57:03,2024-10-07 15:12:44,2024-10-07 23:41:57,3,561,4025,1,1,2,2,Limited vegetarian options.,P029,2,50.00,Sukuma na Ugali,Collard greens served with ugali.,100,20.00,50.00,2,Vegetable-Based Dishes,"Dishes that primarily consist of vegetables, often saut̩ed or cooked with spices.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
561,[Business] Neptune Suites,Mwangi,Munzala,0794408268,332 Mama Ngina St,Apt 67,83082,Mandera,Dagoretti,1,5297,2024-10-05 07:57:03,2024-10-07 15:12:44,2024-10-07 23:41:57,3,561,4025,1,1,2,2,Limited vegetarian options.,P019,1,30.00,Viazi Karai,Potato slices coated in a spiced batter and deep-fried.,100,10.00,30.00,9,Fried Dishes,"Dishes that are deep-fried, often using batter or dough, and served as snacks or accompaniments.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
561,[Business] Neptune Suites,Mwangi,Munzala,0794408268,332 Mama Ngina St,Apt 67,83082,Mandera,Dagoretti,1,5297,2024-10-05 07:57:03,2024-10-07 15:12:44,2024-10-07 23:41:57,3,561,4025,1,1,2,2,Limited vegetarian options.,P070,7,200.00,Nyama na Sukuma,Beef served with collard greens.,60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
682,Felicite Wanyama,Felicite,Wanyama,0768552245,373 Ngong Rd,Apt 60,27062,Isiolo,Molo,1,5325,2024-03-01 23:42:23,2024-03-02 13:39:58,2024-03-02 01:29:21,3,682,4875,5,5,5,4,Loved the seasonal menu options.,P055,2,70.00,Wali wa Nazi na Nyama,Coconut rice served with beef.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
73,[Business] Swahili Retreat,Pauline,Muthoni,0720237722,925 James Gichuru Rd,Apt 26,54397,Nyeri,Langata,1,5326,2021-06-13 17:40:41,2021-06-15 06:54:32,2021-06-18 04:11:48,3,73,536,4,4,4,4,Loved the decor.,P039,1,200.00,Kuku na Wali,Chicken served with rice.,70,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
210,Achieng Muthoni,Achieng,Muthoni,0774674770,435 Kenyatta Ave,Apt 71,78721,Kitui,Kisumu Central,0,5333,2024-06-27 09:53:37,2024-07-02 09:36:12,2024-06-28 05:22:30,1,210,1514,3,2,3,3,Average experience.,P024,5,20.00,Mahamri,"Sweet, fried bread, similar to mandazi.",100,5.00,20.00,8,Sweet Snacks/Desserts,"Sweet dishes or snacks, often fried or baked, served as a dessert or treat.",1,Pending,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
210,Achieng Muthoni,Achieng,Muthoni,0774674770,435 Kenyatta Ave,Apt 71,78721,Kitui,Kisumu Central,0,5333,2024-06-27 09:53:37,2024-07-02 09:36:12,2024-06-28 05:22:30,1,210,1514,3,2,3,3,Average experience.,P001,8,20.00,Ugali,"A staple food made from maize flour, cooked with water to a dough-like consistency.",100,10.00,20.00,1,Staple Foods,Essential carbohydrate-rich foods commonly served as the main part of meals.,1,Pending,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
381,Felicite Munyoki,Felicite,Munyoki,0761049984,580 Kenyatta Ave,Apt 73,50038,Marsabit,Subukia,0,5376,2025-01-18 06:50:47,2025-01-21 18:48:50,2025-01-19 20:14:39,2,381,2771,2,2,2,1,Average experience.,P091,1,80.00,Bunny Chow,"A hollowed-out loaf of bread filled with curry, typically made with chicken, lamb, or beans.",70,40.00,80.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",2,Processing,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
381,Felicite Munyoki,Felicite,Munyoki,0761049984,580 Kenyatta Ave,Apt 73,50038,Marsabit,Subukia,0,5376,2025-01-18 06:50:47,2025-01-21 18:48:50,2025-01-19 20:14:39,2,381,2771,2,2,2,1,Average experience.,P005,4,70.00,Githeri,A traditional Kikuyu dish of boiled maize and beans.,80,30.00,70.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",2,Processing,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
164,[Business] Diani Suites,Claude,Abdullahi,0745208261,340 Uhuru Hwy,Apt 68,22731,Kiambu,Jomvu,1,5404,2024-03-27 17:15:59,2024-03-28 08:35:17,2024-03-30 01:45:01,5,164,1182,2,1,3,2,The music was just right.,P078,2,30.00,Atayef,"Sweet stuffed pancakes, typically filled with nuts or cream.",100,10.00,30.00,8,Sweet Snacks/Desserts,"Sweet dishes or snacks, often fried or baked, served as a dessert or treat.",5,Cancelled,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
164,[Business] Diani Suites,Claude,Abdullahi,0745208261,340 Uhuru Hwy,Apt 68,22731,Kiambu,Jomvu,1,5404,2024-03-27 17:15:59,2024-03-28 08:35:17,2024-03-30 01:45:01,5,164,1182,2,1,3,2,The music was just right.,P062,4,150.00,Supu ya Kuku na Wali,Chicken soup served with rice.,60,70.00,150.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",5,Cancelled,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
440,Michelle Mandela,Michelle,Mandela,0751516681,107 Kisumu Ave,Apt 55,24242,Garissa,Langata,0,5414,2023-07-06 00:50:47,2023-07-10 13:23:20,,2,440,3202,2,1,1,2,The steak was overcooked.,P026,3,70.00,Supa ya Ndizi,"Banana soup made with green bananas, meat, and spices.",70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",2,Processing,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
440,Michelle Mandela,Michelle,Mandela,0751516681,107 Kisumu Ave,Apt 55,24242,Garissa,Langata,0,5414,2023-07-06 00:50:47,2023-07-10 13:23:20,,2,440,3202,2,1,1,2,The steak was overcooked.,P029,4,50.00,Sukuma na Ugali,Collard greens served with ugali.,100,20.00,50.00,2,Vegetable-Based Dishes,"Dishes that primarily consist of vegetables, often saut̩ed or cooked with spices.",2,Processing,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
440,Michelle Mandela,Michelle,Mandela,0751516681,107 Kisumu Ave,Apt 55,24242,Garissa,Langata,0,5414,2023-07-06 00:50:47,2023-07-10 13:23:20,,2,440,3202,2,1,1,2,The steak was overcooked.,P091,3,80.00,Bunny Chow,"A hollowed-out loaf of bread filled with curry, typically made with chicken, lamb, or beans.",70,40.00,80.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",2,Processing,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
318,Amina Mutombo,Amina,Mutombo,0752521541,678 Dennis Pritt Rd,Apt 21,30265,Tharaka-Nithi,Westlands,0,5429,2023-06-26 09:39:06,2023-07-01 08:24:52,2023-06-26 18:44:52,1,318,2303,1,1,1,1,Food lacked flavor.,P021,1,70.00,Wali wa Nazi,Rice cooked with coconut milk.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",1,Pending,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
318,Amina Mutombo,Amina,Mutombo,0752521541,678 Dennis Pritt Rd,Apt 21,30265,Tharaka-Nithi,Westlands,0,5429,2023-06-26 09:39:06,2023-07-01 08:24:52,2023-06-26 18:44:52,1,318,2303,1,1,1,1,Food lacked flavor.,P035,8,70.00,Ndizi na Nyama,Green bananas cooked with meat and spices.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",1,Pending,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
318,Amina Mutombo,Amina,Mutombo,0752521541,678 Dennis Pritt Rd,Apt 21,30265,Tharaka-Nithi,Westlands,0,5429,2023-06-26 09:39:06,2023-07-01 08:24:52,2023-06-26 18:44:52,1,318,2303,1,1,1,1,Food lacked flavor.,P051,4,200.00,Kuku na Ugali,Chicken served with ugali.,70,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
62,[Business] Sarova Manor,Kamau,Mbeki,0711854736,931 Buruburu Rd,Apt 26,67553,Nairobi,Kisumu Central,1,5448,2025-05-28 22:16:25,2025-05-31 02:37:38,2025-06-03 18:29:04,5,62,444,5,5,5,5,Loved the eco-friendly packaging.,P043,3,70.00,Wali wa Pilau,Spiced rice cooked with meat.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",5,Cancelled,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
62,[Business] Sarova Manor,Kamau,Mbeki,0711854736,931 Buruburu Rd,Apt 26,67553,Nairobi,Kisumu Central,1,5448,2025-05-28 22:16:25,2025-05-31 02:37:38,2025-06-03 18:29:04,5,62,444,5,5,5,5,Loved the eco-friendly packaging.,P008,2,30.00,Kachumbari,Fresh tomato and onion salad with cilantro and lime.,100,10.00,30.00,2,Vegetable-Based Dishes,"Dishes that primarily consist of vegetables, often saut̩ed or cooked with spices.",5,Cancelled,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
90,Paul Munyua,Paul,Munyua,0787339549,767 Koinange St,Apt 15,16294,Nairobi,Eldoret West,1,5487,2025-04-07 02:37:11,2025-04-11 04:29:51,2025-04-12 16:42:41,3,90,656,4,3,4,4,Fresh ingredients used.,P081,2,70.00,Jollof Rice,"A popular West African rice dish cooked with tomatoes, onions, and spices.",80,30.00,70.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
90,Paul Munyua,Paul,Munyua,0787339549,767 Koinange St,Apt 15,16294,Nairobi,Eldoret West,1,5487,2025-04-07 02:37:11,2025-04-11 04:29:51,2025-04-12 16:42:41,3,90,656,4,3,4,4,Fresh ingredients used.,P078,4,30.00,Atayef,"Sweet stuffed pancakes, typically filled with nuts or cream.",100,10.00,30.00,8,Sweet Snacks/Desserts,"Sweet dishes or snacks, often fried or baked, served as a dessert or treat.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
90,Paul Munyua,Paul,Munyua,0787339549,767 Koinange St,Apt 15,16294,Nairobi,Eldoret West,1,5487,2025-04-07 02:37:11,2025-04-11 04:29:51,2025-04-12 16:42:41,3,90,656,4,3,4,4,Fresh ingredients used.,P035,4,70.00,Ndizi na Nyama,Green bananas cooked with meat and spices.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",3,In Transit,2,0700000002,Yaya Centre,Argwings Kodhek Rd,00100,Nairobi,Kilimani
572,[Business] Neptune Manor,Achieng,Njoroge,0707796657,105 Langata Rd,Apt 100,1066,Laikipia,Eldoret West,1,74,2022-10-19 11:04:15,2022-10-20 01:34:41,2022-10-24 12:59:32,3,572,4092,5,5,4,5,Great for groups.,P061,3,70.00,Wali wa Nazi na Samaki,Coconut rice served with fish.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",3,In Transit,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
572,[Business] Neptune Manor,Achieng,Njoroge,0707796657,105 Langata Rd,Apt 100,1066,Laikipia,Eldoret West,1,74,2022-10-19 11:04:15,2022-10-20 01:34:41,2022-10-24 12:59:32,3,572,4092,5,5,4,5,Great for groups.,P085,6,50.00,Kelewele,"Spicy fried plantains, seasoned with ginger, garlic, and chili.",90,20.00,50.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",3,In Transit,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
572,[Business] Neptune Manor,Achieng,Njoroge,0707796657,105 Langata Rd,Apt 100,1066,Laikipia,Eldoret West,1,74,2022-10-19 11:04:15,2022-10-20 01:34:41,2022-10-24 12:59:32,3,572,4092,5,5,4,5,Great for groups.,P059,4,70.00,Matoke na Maharagwe,Plantains cooked with beans.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",3,In Transit,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
565,Mwangi Kiplagat,Mwangi,Kiplagat,0762319418,163 South C Rd,Apt 37,43390,Kisumu,Kisauni,0,114,2025-04-30 22:04:00,2025-05-05 11:11:00,,1,565,4039,2,2,3,1,Food was too salty.,P047,8,70.00,Matoke na Maharagwe,Plantains cooked with beans.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",1,Pending,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
565,Mwangi Kiplagat,Mwangi,Kiplagat,0762319418,163 South C Rd,Apt 37,43390,Kisumu,Kisauni,0,114,2025-04-30 22:04:00,2025-05-05 11:11:00,,1,565,4039,2,2,3,1,Food was too salty.,P098,8,70.00,Malva Pudding,"A sweet, spongy dessert made with apricot jam and served with a creamy sauce.",80,30.00,70.00,8,Sweet Snacks/Desserts,"Sweet dishes or snacks, often fried or baked, served as a dessert or treat.",1,Pending,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
333,Marie Munee,Marie,Munee,0758433097,282 Dennis Pritt Rd,Apt 84,20553,Tharaka-Nithi,Nyando,0,118,2023-02-08 19:38:45,2023-02-11 05:57:32,2023-02-09 02:16:41,2,333,2405,3,4,4,3,Overpriced for the quality.,P037,4,70.00,Wali wa Kukaanga,Fried rice with vegetables and meat.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",2,Processing,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
769,Patrick Ochieng,Patrick,Ochieng,0768824621,32 Eldoret Ln,Apt 93,27070,Garissa,Moiben,0,221,2023-11-16 22:33:16,2023-11-17 12:58:08,2023-11-21 20:30:34,4,769,5485,4,4,4,4,Food lacked flavor.,P075,2,200.00,Tibs,"Saut̩ed meat, typically beef or lamb, with onions and peppers.",70,100.00,200.00,11,African Cultural Specials,"Specialty dishes unique to African cultures, showcasing traditional recipes and flavors.",4,Delivered,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
769,Patrick Ochieng,Patrick,Ochieng,0768824621,32 Eldoret Ln,Apt 93,27070,Garissa,Moiben,0,221,2023-11-16 22:33:16,2023-11-17 12:58:08,2023-11-21 20:30:34,4,769,5485,4,4,4,4,Food lacked flavor.,P040,1,200.00,Nyama na Wali,Beef served with rice.,60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",4,Delivered,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
759,[Business] Nyali Inn,Mutiso,Ahmed,0737493129,37 Jogoo Rd,Apt 14,89247,Mandera,Likoni,0,253,2025-05-20 17:41:20,2025-05-23 07:13:28,2025-05-21 09:58:52,2,759,5411,3,3,4,3,Service was slow.,P044,7,150.00,Supu ya Kuku,Chicken soup cooked with spices.,60,70.00,150.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",2,Processing,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
759,[Business] Nyali Inn,Mutiso,Ahmed,0737493129,37 Jogoo Rd,Apt 14,89247,Mandera,Likoni,0,253,2025-05-20 17:41:20,2025-05-23 07:13:28,2025-05-21 09:58:52,2,759,5411,3,3,4,3,Service was slow.,P039,1,200.00,Kuku na Wali,Chicken served with rice.,70,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",2,Processing,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
759,[Business] Nyali Inn,Mutiso,Ahmed,0737493129,37 Jogoo Rd,Apt 14,89247,Mandera,Likoni,0,253,2025-05-20 17:41:20,2025-05-23 07:13:28,2025-05-21 09:58:52,2,759,5411,3,3,4,3,Service was slow.,P090,7,50.00,Akara,"Deep-fried bean cakes made from black-eyed peas, onions, and spices.",100,20.00,50.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",2,Processing,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
538,[Business] Hilton Lodge,Alain,Odhiambo,0746460529,835 Koinange St,Apt 64,22274,Garissa,Muhoroni,0,259,2023-06-11 00:51:59,2023-06-15 00:40:37,2023-06-11 17:42:25,3,538,3858,2,2,3,2,Service was slow.,P055,3,70.00,Wali wa Nazi na Nyama,Coconut rice served with beef.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",3,In Transit,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
538,[Business] Hilton Lodge,Alain,Odhiambo,0746460529,835 Koinange St,Apt 64,22274,Garissa,Muhoroni,0,259,2023-06-11 00:51:59,2023-06-15 00:40:37,2023-06-11 17:42:25,3,538,3858,2,2,3,2,Service was slow.,P041,1,70.00,Matoke na Nyama,Plantains cooked with meat and spices.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",3,In Transit,3,0700000003,Thika Road Mall,Thika Road,00100,Nairobi,Kasarani
